,id,name,interest,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
4,1061,Pottery Barn,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
5,1115,REVOLVE,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
6,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
7,14320,Jordan,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
8,14362,SKIMS,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
1,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
2,851,Marvel Entertainment,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
3,956,Nike,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
4,1061,Pottery Barn,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
5,1115,REVOLVE,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
6,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
7,14320,Jordan,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
8,14362,SKIMS,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
0,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
0,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
0,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
1,1053,Polaroid,"[{'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
2,14099,Minted,"[{'id': 36, 'name': 'Art & Design'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
1,1053,Polaroid,"[{'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
2,14099,Minted,"[{'id': 36, 'name': 'Art & Design'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
2,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
3,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
2,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
3,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
2,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
3,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
1,837,MamaBear,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
2,1061,Pottery Barn,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
3,1351,Twistshake,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
4,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
5,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
1,837,MamaBear,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
2,1061,Pottery Barn,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
3,1351,Twistshake,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
4,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
5,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
1,387,Costco,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
2,760,Kroger,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
3,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
4,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
5,14311,CVS,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
1,387,Costco,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
2,760,Kroger,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
3,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
4,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
5,14311,CVS,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
0,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
0,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
1,444,Dunkin' Donuts,"[{'id': 139, 'name': 'Restaurants, Food & Grocery'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
2,549,Gatorade,"[{'id': 196, 'name': 'Fitness & Yoga'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
3,781,Lego,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
4,782,LEGOLAND,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
5,1145,Sam's Club,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
6,1231,Spotify Music,"[{'id': 3, 'name': 'Music'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
7,1237,Star Wars,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
8,1284,Target,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
9,1338,Travelgram,"[{'id': 25, 'name': 'Electronics & Computers'}, {'id': 43, 'name': 'Travel, Tourism & Aviation'}, {'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
10,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
11,1410,Warner Bros,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
12,1420,Werther’s Original,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
13,1465,Marvel,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
14,1467,Universal,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
15,11159,Weight Watchers,"[{'id': 798, 'name': 'Healthy Lifestyle'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
16,14217,WW,"[{'id': 798, 'name': 'Healthy Lifestyle'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
1,444,Dunkin' Donuts,"[{'id': 139, 'name': 'Restaurants, Food & Grocery'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
2,549,Gatorade,"[{'id': 196, 'name': 'Fitness & Yoga'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
3,781,Lego,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
4,782,LEGOLAND,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
5,1145,Sam's Club,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
6,1231,Spotify Music,"[{'id': 3, 'name': 'Music'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
7,1237,Star Wars,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
8,1284,Target,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
9,1338,Travelgram,"[{'id': 25, 'name': 'Electronics & Computers'}, {'id': 43, 'name': 'Travel, Tourism & Aviation'}, {'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
10,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
11,1410,Warner Bros,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
12,1420,Werther’s Original,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
13,1465,Marvel,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
14,1467,Universal,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
15,11159,Weight Watchers,"[{'id': 798, 'name': 'Healthy Lifestyle'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
16,14217,WW,"[{'id': 798, 'name': 'Healthy Lifestyle'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
1,444,Dunkin' Donuts,"[{'id': 139, 'name': 'Restaurants, Food & Grocery'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
2,549,Gatorade,"[{'id': 196, 'name': 'Fitness & Yoga'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
3,781,Lego,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
4,782,LEGOLAND,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
5,1145,Sam's Club,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
6,1231,Spotify Music,"[{'id': 3, 'name': 'Music'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
7,1237,Star Wars,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
8,1284,Target,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
9,1338,Travelgram,"[{'id': 25, 'name': 'Electronics & Computers'}, {'id': 43, 'name': 'Travel, Tourism & Aviation'}, {'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
10,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
11,1410,Warner Bros,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
12,1420,Werther’s Original,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
13,1465,Marvel,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
14,1467,Universal,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
15,11159,Weight Watchers,"[{'id': 798, 'name': 'Healthy Lifestyle'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
16,14217,WW,"[{'id': 798, 'name': 'Healthy Lifestyle'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
0,,,"[{'id': None, 'name': None}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
0,,,"[{'id': None, 'name': None}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
0,,,"[{'id': None, 'name': None}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
0,490,Fabletics,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
1,828,Madewell,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
2,956,Nike,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
3,978,OLD NAVY,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
4,1009,Pandora,"[{'id': 130, 'name': 'Jewellery & Watches'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
5,1082,Puma,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
6,1284,Target,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
7,1377,Vans,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
8,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
9,1434,Wyndham,"[{'id': 43, 'name': 'Travel, Tourism & Aviation'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
10,1467,Universal,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
11,1757,Lane Bryant,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
12,1782,Clarks,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
13,11037,Monica Vinader,"[{'id': 130, 'name': 'Jewellery & Watches'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
14,13913,Amika,"[{'id': 80, 'name': 'Beauty & Cosmetics'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
15,14362,SKIMS,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
16,14382,Tula,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
17,14426,Wilson,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
0,490,Fabletics,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
